日期,買入價,股數,成本,期末價,最終市值,獲利,報酬率%
2023-04-25,27.24206924438477,1,27.24206924438477,61.79999923706055,61.79999923706055,34.55792999267578,126.85501120587226
2023-04-26,27.21860694885254,1,27.21860694885254,61.79999923706055,61.79999923706055,34.58139228820801,127.0505590282087
2023-04-27,27.54710578918457,1,27.54710578918457,61.79999923706055,61.79999923706055,34.25289344787598,124.3429843774158
2023-08-09,30.09203720092773,1,30.09203720092773,61.79999923706055,61.79999923706055,31.707962036132816,105.36994163743512
2023-08-10,30.06822967529297,1,30.06822967529297,61.79999923706055,61.79999923706055,31.731769561767578,105.53255015156924
2023-08-13,29.639705657958984,1,29.639705657958984,61.79999923706055,61.79999923706055,32.16029357910156,108.50409228158358
2023-08-14,29.68731689453125,1,29.68731689453125,61.79999923706055,61.79999923706055,32.1126823425293,108.16970242415147
2023-08-15,29.53257179260254,1,29.53257179260254,61.79999923706055,61.79999923706055,32.26742744445801,109.2604723728819
2023-08-16,29.66351127624512,1,29.66351127624512,61.79999923706055,61.79999923706055,32.13648796081543,108.33676317527082
2023-08-17,29.48495864868164,1,29.48495864868164,61.79999923706055,61.79999923706055,32.315040588378906,109.59839209346765
2023-08-20,29.2825984954834,1,29.2825984954834,61.79999923706055,61.79999923706055,32.51740074157715,111.0468415109837
2023-08-21,29.52066993713379,1,29.52066993713379,61.79999923706055,61.79999923706055,32.27932929992676,109.34483996693744
2023-09-25,29.068336486816406,1,29.068336486816406,61.79999923706055,61.79999923706055,32.73166275024414,112.60246270057178
2023-09-26,29.08024024963379,1,29.08024024963379,61.79999923706055,61.79999923706055,32.71975898742676,112.51543558976891
2023-09-27,29.19927406311035,1,29.19927406311035,61.79999923706055,61.79999923706055,32.600725173950195,111.64909478053482
2023-10-29,29.044527053833008,1,29.044527053833008,61.79999923706055,61.79999923706055,32.75547218322754,112.77674490108387
2023-10-30,28.8421688079834,1,28.8421688079834,61.79999923706055,61.79999923706055,32.95783042907715,114.26959826944274
2023-10-31,28.98501205444336,1,28.98501205444336,61.79999923706055,61.79999923706055,32.81498718261719,113.21363993563251
2024-01-09,31.49664878845215,1,31.49664878845215,61.79999923706055,61.79999923706055,30.3033504486084,96.21134823625663
2024-01-10,31.62759017944336,1,31.62759017944336,61.79999923706055,61.79999923706055,30.172409057617188,95.39901360309145
2024-01-11,31.57997131347656,1,31.57997131347656,61.79999923706055,61.79999923706055,30.220027923583988,95.6936522316845
2024-01-16,31.04955673217773,1,31.04955673217773,61.79999923706055,61.79999923706055,30.750442504882816,99.03665540260376
2024-07-25,43.83107376098633,1,43.83107376098633,61.79999923706055,61.79999923706055,17.96892547607422,40.995859636156595
2024-07-28,44.22286605834961,1,44.22286605834961,61.79999923706055,61.79999923706055,17.577133178710938,39.74670740589018
